geneID	geneName
RGD:1307952	Nuf2
RGD:620526	Kif4a
RGD:1307905	Kntc1
RGD:1564085	Lats1
RGD:1564084	Tipin
RGD:1564036	Mrnip
RGD:3167	Neurog1
RGD:1309083	Clspn
RGD:1309573	Aurkc
RGD:708565	Lzts1
RGD:1309565	Pbk
RGD:1309538	Kat14
RGD:1309522	Bora
RGD:1309515	Rad17
RGD:69647	Eif4e
RGD:70487	Ctnnb1
RGD:70494	Tert
RGD:70499	Birc5
RGD:620969	Map3k8
RGD:620968	Prkcq
RGD:620967	Map3k2
RGD:620966	Map3k1
RGD:620920	Ppp2r2c
RGD:620919	Ppp2r2a
RGD:620914	Tcf3
RGD:620913	Hsf1
RGD:620907	Ppp2r1a
RGD:1584969	Abl1
RGD:1564494	Cul4b
RGD:1559792	Gen1
RGD:1584914	Lsm10
RGD:1309488	Sox4
RGD:3540	Rb1
RGD:1309405	Fbxo5
RGD:620863	Tp63
RGD:620858	Tpra1
RGD:620832	Akap8
RGD:1596276	Haspin
RGD:620813	Lbr
RGD:1584849	Eya1
RGD:1564367	Ccnb3
RGD:1564359	Map4
RGD:1309383	Cenpt
RGD:1309375	Nek1
RGD:3447	Ptpn11
RGD:3429	Psme1
RGD:1309329	Lrp5
RGD:620786	Msh2
RGD:620760	Plk2
RGD:620743	Bmp7
RGD:620714	Fgfr3
RGD:620713	Fgfr1
RGD:619938	Nup62
RGD:1559992	Pkd2
RGD:1564642	Trim35
RGD:1302974	Tcf19
RGD:3779	Stk10
RGD:1302969	Phf23
RGD:1594529	Rad21
RGD:620157	Ank3
RGD:1586212	Pdxp
RGD:1564543	Chmp4c
RGD:1309597	Tubgcp2
RGD:1310969	Ino80
RGD:1310944	Naa50
RGD:69062	Cdkn1b
RGD:1562348	Ankrd17
RGD:1359717	Ccdc8
RGD:1359710	Rnaseh2b
RGD:1312035	Stk4
RGD:1307362	Bccip
RGD:1312009	Pak7
RGD:1306956	Ovol1
RGD:1307316	L3mbtl1
RGD:1310889	Mad2l1
RGD:1310838	Pds5b
RGD:1310823	Recql5
RGD:621417	Kcnh5
RGD:621420	Nbn
RGD:621424	Lig1
RGD:621425	Ptch1
RGD:619951	Abcb1a
RGD:621445	Klf4
RGD:621462	H2afy
RGD:1309986	Rcc2
RGD:1309980	Pogz
RGD:1309959	Tada2a
